title,id,weight,width,height,depth
"ROZDZIELNIA 1F 7 ""S"" NA LICZNIK ELEKTRONICZNY Z ZAMKIEM I SZYBĄ, RAL 9003",2-002,"3,20","180,00","430,00","120,00"
"ROZDZIELNIA RL 1F/3F RBK 00, ZMk (KR-35) RAL 9003",2-004,"7,00","403,00","503,00","210,00"
ROZDZIELNIA RL 24  (2-086)  RAL 9003,2-086,"7,91","400,00","500,00","210,00"
"ROZDZIELNIA RL 24 Z ZAMKIEM,  RAL 9003",2-088,"7,97","400,00","500,00","210,00"
ROZDZIELNIA RL 24 Z ZAMKIEM I SZYBĄ (2-089)  RAL 9003,2-089,"7,84","400,00","500,00","210,00"
ROZDZIELNIA RL 2L 1F 12 Z ZAMKIEM  (2-106) RAL 9003,2-106,"6,80","365,00","430,00","210,00"
ROZDZIELNIA RL 2L 1F 12 Z ZAMKIEM I SZYBĄ (2-107)  RAL 9003,2-107,"6,68","365,00","430,00","210,00"
"ROZDZIELNIA RL-2L 24,  RAL 9003",2-119,"10,10","545,00","540,00","210,00"
"ROZDZIELNIA RL-2L 24 Z ZAMKIEM,  RAL 9003",2-121,"10,27","545,00","540,00","210,00"
ROZDZIELNIA RL-2L 24 Z ZAMKIEM I SZYBĄ RAL 9003,2-122,"10,10","545,00","540,00","210,00"
"ROZDZIELNIA RL 36 Z ZAMKIEM,  RAL 9003",2-159,"10,73","545,00","540,00","210,00"
ROZDZIELNIA RL 36 Z ZAMKIEM I SZYBĄ RAL 9003,2-003,"10,74","545,00","540,00","210,00"
ROZDZIELNIA RL 3F Z ZAMKIEM I SZYBĄ  RAL 9003 /wycofane/,2-067,"3,97","270,00","370,00","210,00"
Beta Light 32U-800x800 drzwi pełne  Ral 7035,19-2018BETAL-32U-88-S-DP,"90,00","800,00","1 600,00","800,00"
Beta Light 32U-800x800 drzwi perforowane  Ral 7035,19-2019BETAL-32U-88-S-DPRF,"90,00","800,00","1 600,00","800,00"
Beta Light 32U-800x800 drzwi szyba  Ral 7035,19-2020BETAL-32U-88-S-DS,"94,00","800,00","1 600,00","800,00"
Beta Light 38U-600x600 drzwi pełne  Ral 7035,19-2021BETAL-38U-66-S-DP,"76,00","600,00","1 866,00","600,00"
Beta Light 38U-600x600 drzwi perforowane Ral 7035,19-2022BETAL-38U-66-S-DPRF,"76,00","600,00","1 866,00","600,00"
Beta Light 38U-600x600 drzwi szyba  Ral 7035,19-2023BETAL-38U-66-S-DS,"79,00","600,00","1 866,00","600,00"
Beta Light 38U-600x800 drzwi pełne  Ral 7035,19-2024BETAL-38U-68-S-DP,"85,00","600,00","1 866,00","800,00"
Beta Light 38U-600x800 drzwi perforowane  Ral 7035,19-2025BETAL-38U-68-S-DPRF,"85,00","600,00","1 866,00","800,00"
Beta Light 38U-600x800 drzwi szyba  Ral 7035,19-2026BETAL-38U-68-S-DS,"89,00","600,00","1 866,00","800,00"
Beta Light 38U-800x800 drzwi pełne  Ral 7035,19-2027BETAL-38U-88-S-DP,"100,00","800,00","1 866,00","800,00"
Beta Light 38U-800x800 drzwi perforowane  Ral 7035,19-2028BETAL-38U-88-S-DPRF,"100,00","800,00","1 866,00","800,00"
Beta Light 38U-800x800 drzwi szyba  Ral 7035,19-2029BETAL-38U-88-S-DS,"105,00","800,00","1 866,00","800,00"
Beta Light 42U-600x600 drzwi pełne  Ral 7035,19-2030BETAL-42U-66-S-DP,"80,00","600,00","2 030,00","600,00"
Beta Light 42U-600x600 drzwi perforowane  Ral 7035,19-2031BETAL-42U-66-S-DPRF,"80,00","600,00","2 030,00","600,00"
Beta Light 42U-600x600 drzwi szyba  Ral 7035,19-2032BETAL-42U-66-S-DS,"84,00","600,00","2 030,00","600,00"
Beta Light 42U-600x800 drzwi pełne  Ral 7035,19-2033BETAL-42U-68-S-DP,"92,00","600,00","2 030,00","800,00"
Beta Light 42U-600x800 drzwi perforowane Ral 7035,19-2034BETAL-42U-68-S-DPRF,"92,00","600,00","2 030,00","800,00"
Beta Light 42U-600x800 drzwi szyba  Ral 7035,19-2035BETAL-42U-68-S-DS,"96,00","600,00","2 030,00","800,00"
Beta Light 42U-800x800 drzwi pełne  Ral 7035,19-2036BETAL-42U-88-S-DP,"105,00","800,00","2 030,00","800,00"
Beta Light 42U-800x800 drzwi perforowane  Ral 7035,19-2037BETAL-42U-88-S-DPRF,"105,00","800,00","2 030,00","800,00"
Beta Light 42U-800x800 drzwi szyba  Ral 7035,19-2038BETAL-42U-88-S-DS,"111,00","800,00","2 030,00","800,00"
"Szafa wisząca 19"" 6U/400mm drzwi przeszklone otwierane boki RAL 7035",19-BOCK-019-060-400-S,"0,00","602,00","328,00","400,00"
